HDR,ROLLING SYSTEM DEMAND
VD,20220302225500,29667
VD,20220302230000,29486
VD,20220302230500,29519
VD,20220302231000,29170
VD,20220302231500,28801
VD,20220302232000,28513
VD,20220302232500,28215
VD,20220302233000,28130
VD,20220302233500,28232
VD,20220302234000,28207
VD,20220302234500,28202
VD,20220302235000,28125
VD,20220302235500,27995
VD,20220303000000,27821
VD,20220303000500,27978
VD,20220303001000,28081
VD,20220303001500,28196
VD,20220303002000,28190
VD,20220303002500,28262
VD,20220303003000,28301
VD,20220303003500,28501
VD,20220303004000,28548
VD,20220303004500,28489
VD,20220303005000,28423
VD,20220303005500,28488
VD,20220303010000,28400
VD,20220303010500,28896
VD,20220303011000,28893
VD,20220303011500,28831
VD,20220303012000,28696
VD,20220303012500,28504
VD,20220303013000,28463
VD,20220303013500,28398
VD,20220303014000,28437
VD,20220303014500,28358
VD,20220303015000,28337
VD,20220303015500,28226
VD,20220303020000,27784
VD,20220303020500,27632
VD,20220303021000,27577
VD,20220303021500,27603
VD,20220303022000,27598
VD,20220303022500,27510
VD,20220303023000,27469
VD,20220303023500,27380
VD,20220303024000,27312
VD,20220303024500,27225
VD,20220303025000,27180
VD,20220303025500,27039
VD,20220303030000,26918
VD,20220303030500,26572
VD,20220303031000,26518
VD,20220303031500,26713
VD,20220303032000,26887
VD,20220303032500,26937
VD,20220303033000,26933
VD,20220303033500,27063
VD,20220303034000,27041
VD,20220303034500,26994
VD,20220303035000,27004
VD,20220303035500,26991
VD,20220303040000,26946
VD,20220303040500,26891
VD,20220303041000,27002
VD,20220303041500,26968
VD,20220303042000,26891
VD,20220303042500,26879
VD,20220303043000,26832
VD,20220303043500,26667
VD,20220303044000,26550
VD,20220303044500,26447
VD,20220303045000,26315
VD,20220303045500,26247
VD,20220303050000,26150
VD,20220303050500,26103
VD,20220303051000,26305
VD,20220303051500,26494
VD,20220303052000,26587
VD,20220303052500,26872
VD,20220303053000,26953
VD,20220303053500,27306
VD,20220303054000,27664
VD,20220303054500,27958
VD,20220303055000,28153
VD,20220303055500,28538
VD,20220303060000,28776
VD,20220303060500,29376
VD,20220303061000,30088
VD,20220303061500,30680
VD,20220303062000,31157
VD,20220303062500,31595
VD,20220303063000,31744
VD,20220303063500,32087
VD,20220303064000,32488
VD,20220303064500,32813
VD,20220303065000,33111
VD,20220303065500,33495
VD,20220303070000,33916
VD,20220303070500,34016
VD,20220303071000,34239
VD,20220303071500,34664
VD,20220303072000,34949
VD,20220303072500,35248
VD,20220303073000,35318
VD,20220303073500,35287
VD,20220303074000,35313
VD,20220303074500,35430
VD,20220303075000,35582
VD,20220303075500,35762
VD,20220303080000,35988
VD,20220303080500,36695
VD,20220303081000,37154
VD,20220303081500,37314
VD,20220303082000,37376
VD,20220303082500,37015
VD,20220303083000,37056
VD,20220303083500,37146
VD,20220303084000,37508
VD,20220303084500,37515
VD,20220303085000,37636
VD,20220303085500,37822
VD,20220303090000,37981
VD,20220303090500,38085
VD,20220303091000,38344
VD,20220303091500,38229
VD,20220303092000,38359
VD,20220303092500,38299
VD,20220303093000,38286
VD,20220303093500,38121
VD,20220303094000,38042
VD,20220303094500,37986
VD,20220303095000,38078
VD,20220303095500,38019
VD,20220303100000,37961
VD,20220303100500,38029
VD,20220303101000,38081
VD,20220303101500,38045
VD,20220303102000,38111
VD,20220303102500,38146
VD,20220303103000,38171
VD,20220303103500,38274
VD,20220303104000,38157
VD,20220303104500,38168
VD,20220303105000,38285
VD,20220303105500,38307
VD,20220303110000,38303
VD,20220303110500,38389
VD,20220303111000,38328
VD,20220303111500,38330
VD,20220303112000,38418
VD,20220303112500,38389
VD,20220303113000,38412
VD,20220303113500,38429
VD,20220303114000,38427
VD,20220303114500,38475
VD,20220303115000,38531
VD,20220303115500,38578
VD,20220303120000,38524
VD,20220303120500,38559
VD,20220303121000,38613
VD,20220303121500,38703
VD,20220303122000,38711
VD,20220303122500,38822
VD,20220303123000,38805
VD,20220303123500,38746
VD,20220303124000,38747
VD,20220303124500,38793
VD,20220303125000,38883
VD,20220303125500,38822
VD,20220303130000,38769
VD,20220303130500,38794
VD,20220303131000,38898
VD,20220303131500,38788
VD,20220303132000,38687
VD,20220303132500,38627
VD,20220303133000,38454
VD,20220303133500,38373
VD,20220303134000,38337
VD,20220303134500,38259
VD,20220303135000,38246
VD,20220303135500,38184
VD,20220303140000,38158
VD,20220303140500,38224
VD,20220303141000,38328
VD,20220303141500,38341
VD,20220303142000,38369
VD,20220303142500,38196
VD,20220303143000,37982
VD,20220303143500,37967
VD,20220303144000,37957
VD,20220303144500,37725
VD,20220303145000,37707
VD,20220303145500,37691
VD,20220303150000,37704
VD,20220303150500,37871
VD,20220303151000,37970
VD,20220303151500,37992
VD,20220303152000,37922
VD,20220303152500,37944
VD,20220303153000,37840
VD,20220303153500,37770
VD,20220303154000,37943
VD,20220303154500,38172
VD,20220303155000,38376
VD,20220303155500,38431
VD,20220303160000,38564
VD,20220303160500,38582
VD,20220303161000,38641
VD,20220303161500,38714
VD,20220303162000,38675
VD,20220303162500,38781
VD,20220303163000,38832
