Operating Revenue (In Thousands of Dollars $000) (All U.S. Carriers - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2008,1,"31,408,302","3,551,521","4,766,360","3,608,157","938,354","44,272,694"
2008,2,"34,244,714","3,391,669","6,386,436","4,014,454","998,592","49,035,865"
2008,3,"34,060,087","3,469,619","7,144,878","4,329,271","1,034,661","50,038,515"
2008,4,"30,015,228","3,054,996","5,157,221","3,542,951","969,864","42,740,259"
2008,TOTAL,"129,728,330","13,467,805","23,454,895","15,494,832","3,941,471","186,087,333"
2009,1,"26,183,386","3,078,168","3,790,054","2,890,038","775,007","36,716,652"
2009,2,"27,369,441","2,583,669","4,858,504","2,699,253","699,454","38,210,321"
2009,3,"28,216,303","2,677,662","5,531,003","3,091,313","761,009","40,277,291"
2009,4,"27,911,887","2,981,615","4,702,400","3,233,782","1,017,249","39,846,934"
2009,TOTAL,"109,681,017","11,321,114","18,881,961","11,914,386","3,252,719","155,051,198"
2010,1,"27,244,170","3,414,402","4,337,337","3,342,458","1,022,077","39,360,445"
2010,2,"30,624,878","3,274,351","5,862,018","3,995,598","1,091,488","44,848,332"
2010,3,"31,131,870","3,312,293","6,559,366","4,387,486","1,086,282","46,477,297"
2010,4,"30,072,585","3,373,248","5,213,740","4,138,589","1,193,161","43,991,322"
2010,TOTAL,"119,073,502","13,374,293","21,972,460","15,864,132","4,393,008","174,677,395"
2011,1,"30,534,144","3,917,014","4,507,288","3,935,343","994,669","43,888,457"
2011,2,"34,663,890","3,721,697","6,372,570","4,261,506","1,115,192","50,134,855"
2011,3,"34,676,558","3,838,892","6,894,565","4,922,165","1,194,701","51,526,880"
2011,4,"32,947,504","3,792,025","5,223,585","4,321,802","1,205,591","47,490,507"
2011,TOTAL,"132,822,096","15,269,628","22,998,007","17,440,816","4,510,153","193,040,699"
2012,1,"32,520,037","4,282,280","4,692,277","4,148,110","1,024,028","46,666,732"
2012,2,"35,763,241","3,870,601","6,316,350","4,404,904","1,097,113","51,452,209"
2012,3,"34,263,076","3,936,834","6,636,368","4,897,653","914,572","50,648,503"
2012,4,"33,283,857","3,865,603","5,032,401","4,215,400","940,544","47,337,806"
2012,TOTAL,"135,830,212","15,955,317","22,677,396","17,666,067","3,976,258","196,105,250"
2013,1,"32,682,301","4,777,202","4,618,413","3,908,234","786,878","46,773,028"
2013,2,"35,527,896","4,087,433","6,424,119","4,283,352","805,506","51,128,305"
2013,3,"35,990,506","4,239,798","7,084,002","4,654,162","802,943","52,771,412"
2013,4,"34,944,094","4,278,566","5,326,866","4,179,043","843,570","49,572,139"
2013,TOTAL,"139,144,797","17,383,000","23,453,400","17,024,791","3,238,896","200,244,884"
2014,1,"33,558,448","4,718,342","4,701,614","4,096,258","615,031","47,689,693"
2014,2,"38,071,207","4,449,597","6,808,456","4,238,269","678,896","54,246,424"
2014,3,"37,924,357","4,151,779","7,408,340","4,718,232","713,460","54,916,168"
2014,4,"36,317,906","4,238,835","5,429,170","4,124,085","751,606","50,861,603"
2014,TOTAL,"145,871,919","17,558,552","24,347,579","17,176,844","2,758,993","207,713,887"
2015,1,"34,400,448","4,483,445","4,594,343","4,017,639","643,609","48,139,484"
2015,2,"37,988,917","4,042,553","6,386,612","4,140,278","641,813","53,200,172"
2015,3,"38,170,710","3,962,621","7,047,691","4,355,871","650,533","54,187,425"
2015,4,"36,372,331","3,756,925","5,176,286","3,860,714","667,555","49,833,811"
2015,TOTAL,"146,932,406","16,245,543","23,204,932","16,374,502","2,603,510","205,360,893"
2016,1,"34,766,496","4,471,219","4,171,594","3,923,713","596,696","47,929,718"
2016,2,"38,683,010","3,754,422","6,078,203","4,137,491","606,344","53,259,470"
2016,3,"39,267,618","3,764,641","7,278,521","4,391,005","597,529","55,299,314"
2016,4,"38,390,204","3,655,689","5,886,529","4,111,883","762,528","52,806,834"
2016,TOTAL,"151,107,327","15,645,971","23,414,848","16,564,092","2,563,096","209,295,335"
2017,1,"36,984,571","4,115,369","5,164,688","4,002,170","637,966","50,904,764"
2017,2,"41,730,343","4,036,847","7,028,765","4,185,903","643,140","57,624,998"
2017,3,"40,500,338","4,032,697","7,351,029","4,409,803","756,579","57,050,446"
2017,4,"41,323,753","3,980,246","6,218,399","4,281,152","858,974","56,662,524"
2017,TOTAL,"160,539,005","16,165,159","25,762,882","16,879,029","2,896,658","222,242,732"
2018,1,"39,417,877","4,790,079","5,861,361","4,354,526","872,086","55,295,929"
2018,2,"44,253,860","4,353,014","7,905,845","4,558,072","1,012,331","62,083,123"
2018,3,"43,798,660","4,247,852","8,301,470","4,695,497","1,018,477","62,061,957"
2018,4,"44,215,557","4,196,372","6,603,111","4,481,355","1,063,622","60,560,016"
2018,TOTAL,"171,685,954","17,587,317","28,671,787","18,089,451","3,966,516","240,001,025"
2019,1,"41,375,991","4,801,053","5,836,218","4,252,332","953,158","57,218,752"
2019,2,"46,580,348","4,523,982","8,030,933","4,394,200","987,050","64,516,512"
2019,3,"45,748,634","4,341,319","8,456,613","4,447,688","969,356","63,963,610"
2019,4,"45,636,832","4,394,773","6,839,328","4,369,627","1,062,103","62,302,664"
2019,TOTAL,"179,341,805","18,061,127","29,163,091","17,463,848","3,971,666","248,001,537"
2020,1,"35,959,580","4,304,794","5,101,345","3,303,189","953,310","49,622,217"
2020,2,"13,825,409","574,121","2,335,979","2,360,926","1,379,796","20,476,230"
2020,3,"19,785,396","1,211,029","3,037,368","2,550,542","1,229,090","27,813,425"
2020,4,"23,703,643","2,175,696","3,439,571","2,824,099","1,415,744","33,558,754"
2020,TOTAL,"93,274,028","8,265,640","13,914,263","11,038,755","4,977,940","131,470,626"
2021,1,"23,213,767","2,193,546","3,404,709","2,740,551","1,353,367","32,905,939"
2021,2,"35,276,277","3,570,739","3,870,582","3,146,913","1,596,887","47,461,399"
2021,3,"41,300,066","4,043,858","5,132,636","3,216,892","1,680,301","55,373,753"
2021,4,"43,918,677","4,330,499","5,381,293","3,471,123","1,824,171","58,925,763"
2021,TOTAL,"143,708,788","14,138,642","17,789,220","12,575,478","6,454,726","194,666,854"
2022,1,"41,233,121","4,587,336","5,084,736","3,423,807","1,673,416","56,002,415"
2022,2,"55,307,339","5,541,106","8,779,708","3,727,903","1,966,049","75,322,105"
2022,TOTAL,"96,540,460","10,128,442","13,864,444","7,151,710","3,639,464","131,324,520"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
